finding_id,agent,section,question,verdict,raw_value,unit,current_period,prior_period,trend,peer_verdict,score,penalty,confidence_1_to_5,materiality,evidence,as_of_date,red_flag_triggered,red_flag_id,follow_up
01-001,management-and-track-record,Key Executives,CEO tenure,Green,6.2,years,FY2026,FY2025,Stable,In line,18,0,4,High,"Web (unverified) + Q4 FY26 transcript May 8 2026 p.3",2026-05-08,false,,None
01-002,management-and-track-record,Key Executives,CFO tenure,Green,6.2,years,FY2026,FY2025,Stable,,18,0,4,High,"Web (unverified) + Q4 FY26 transcript May 8 2026 p.3",2026-05-08,false,,None
01-004,management-and-track-record,Management Stability,Senior departures (last 3 yrs),Green,0,departures,FY2026,FY2025,Stable,,20,0,4,High,"All 6 earnings call transcripts Q2 FY25 to Q4 FY26",2026-05-08,false,,None
01-005,management-and-track-record,Management Stability,CFO turnover,Green,0,changes,FY2026,FY2025,Stable,,20,0,4,High,"All 6 transcripts",2026-05-08,false,,None
01-006,management-and-track-record,Management Stability,Q1 FY26 auto-adjudication suspension,Amber,1,disrupted quarters,Q1 FY26,Q3 FY25,Deteriorating (temp),,-3,3,Medium,"Q1 FY26 transcript Jul 31 2025 pp.5-6",2025-07-31,false,,"What was security vulnerability? Was IRDAI notified?"
01-007,management-and-track-record,Stated Strategy,Combined ratio vs 99% FY29 target,Amber,101.4,% IFRS COR,FY2026,"FY2025 (101.2%)",Deteriorating slightly,Worse than Star Health,12,-4,3,High,"Q4 FY26 transcript May 8 2026 p.5",2026-05-08,false,,"Will loss ratio stabilise in FY27?"
01-008,management-and-track-record,Promise vs Delivery,EOM ratio improvement,Green,33.7,% EOM,FY2026,"FY2025 (39.2%)",Improving (-550 bps),Better than IRDAI cap,25,0,4,High,"Q4 FY26 transcript May 8 2026 p.5",2026-05-08,false,,None
01-009,management-and-track-record,Promise vs Delivery,IFRS PAT trajectory,Green,366,INR cr,FY2026,"FY2025 (203 cr)",Improving (+80% YoY),,25,0,4,High,"Q4 FY26 transcript May 8 2026 p.4-5",2026-05-08,false,,None
01-010,management-and-track-record,Promise vs Delivery,Revenue/GWP vs consensus,Amber,-6.2,% miss vs consensus,FY2026,"FY2025 (-8.7%)",Improving,,0,-2,3,Medium,"Capital IQ Estimates data as of 2026-05-11",2026-05-11,false,,"Is management guiding analysts too optimistically?"
01-012,management-and-track-record,Promise vs Delivery,Retail market share,Green,10.1,% retail market share,FY2026,"FY2025 (9.4%)",Improving,Smaller but gaining vs Star Health,20,0,4,Medium,"Q4 FY26 transcript May 8 2026 p.5",2026-05-08,false,,None
01-014,management-and-track-record,Turnaround & Integrity,Turnaround test >= 2-3 yrs delivered,Green,3,years PAT growth,FY2026,FY2024,Improving,,20,0,4,High,"Q4 FY25 transcript May 7 2025 p.5; Q4 FY26 transcript May 8 2026 p.5",2026-05-08,false,,None
02-001,capital-allocation-scorecard,Uses of Capital,Acquisitions / M&A,Green,0,deals,FY22-FY26,,Stable,In line,20,0,4,High,"Capital IQ Financials.xls Cash Flow; all 6 transcripts",2026-05-08,false,,None
02-005,capital-allocation-scorecard,M&A Scorecard,Serial-acquirer test S24 Filter 4,Green,0,acquisitions,FY22-FY26,,Stable,,20,0,4,High,"All 6 transcripts; Capital IQ Financials.xls",2026-05-08,false,,None
02-006,capital-allocation-scorecard,Buyback Scorecard,Share-count trajectory net dilution,Amber,218,mn shares increase (inferred FY24-FY26),"FY26 (~1849 mn)","FY24 (~1631 mn)",Deteriorating (dilutive),,5,-5,2,High,"Capital IQ Financials.xls EPS and PAT lines",2026-03-31,true,RF-CAP-002,"Confirm share count from Annual Report; quantify ESOP grants"
02-009,capital-allocation-scorecard,Dividends & Organic Reinvestment,ROE trajectory,Green,10.7,% ROE IFRS,FY2026,"FY2024 (5.3%)",Improving (+540 bps),Worse than peer but improving,12,0,3,High,"Q4 FY26 transcript May 8 2026 p.5",2026-05-08,false,,None
02-011,capital-allocation-scorecard,Dividends & Organic Reinvestment,EOM trajectory as reinvestment signal,Green,33.7,% EOM,FY2026,"FY2025 (39.2%)",Improving (-550 bps),Better than IRDAI cap,12,0,4,High,"Q4 FY26 transcript May 8 2026 p.5",2026-05-08,false,,None
02-013,capital-allocation-scorecard,Dividends & Organic Reinvestment,Solvency ratio,Amber,2.49,x (vs 1.50x min),Mar-2026,"Mar-2025 (3.03x)",Deteriorating (-54 bps),Well above minimum,7,0,3,High,"Q4 FY26 transcript May 8 2026 p.5; Q4 FY25 transcript May 7 2025 p.5",2026-03-31,false,,"Monitor solvency; model equity raise if GWP grows 25%+"
02-014,capital-allocation-scorecard,Capital-Allocation Read,RPT risk Bupa flows unquantified,Amber,0,INR mn quantified,FY2026,,Insufficient Data,,0,-5,2,High,"Annual Report (Ind AS 24) absent from pool",2026-06-22,false,,"Obtain Annual Report RPT note; quantify Bupa Singapore fees"
02-015,capital-allocation-scorecard,Capital-Allocation Read,EPS trajectory per-share value creation,Green,1.98,INR EPS diluted,FY2026,"FY2024 (0.65)",Improving (+205%),,10,0,4,High,"Capital IQ Financials.xls; Q4 FY26 transcript May 8 2026 p.4-5",2026-03-31,false,,None
03-001,incentives-and-compensation,Comp Structure,CEO total cash compensation,Amber,11.61,INR crore FY25,"FY2025","FY2024 (5.18 cr)",Deteriorating (124% increase),Above Star Health peer,5,-2,3,High,"Capital IQ Comp export (FY2025); Web (unverified)",2026-06-04,false,,"Verify FY26 total comp from Board's Report"
03-004,incentives-and-compensation,Performance Metrics,Bonus metric GWP growth size-based,Red,0,disclosed weight,FY2025,,Stable,,0,-5,2,High,"Inferred from Q4 FY26 transcript May 8 2026 p.4; not from primary filing",2026-05-08,false,,"Confirm from Annual Report whether GWP is in bonus formula"
03-006,incentives-and-compensation,Performance Metrics,LTIP/ESOP performance vesting conditions,Red,0,performance conditions,FY2025-FY2026,,Stable,,0,-10,3,High,"Web: Niva Bupa ESOP Scheme 2024 (unverified); May 2026 ESOP grant 12.25M options",2026-05-08,false,,"Confirm from NRC report whether performance vesting exists"
03-007,incentives-and-compensation,Performance Metrics,Per-share/returns metrics in any plan,Red,0,per-share or returns metrics,FY2025,,Stable,,0,-8,2,High,"Absence of ROE EPS TSR ROIC in any plan from available data",2026-06-22,false,,"Obtain Board's Report for formal NRC performance criteria"
03-009,incentives-and-compensation,Pay vs Performance,CEO personal equity stake,Green,93.7,INR crore (est. at 84.03/share),Jun 2026,,Stable,,15,0,2,High,"Web: Postal Ballot Notice / Whalesbook 1.115 cr shares (unverified) + Capital IQ Key Stats",2026-06-04,false,,"Confirm share count from SEBI PIT filing"
03-011,incentives-and-compensation,Pay vs Performance,IRDAI Show Cause Notice regulatory risk,Amber,1,SCN issued,Feb 2026,,Deteriorating,,0,-3,2,High,"Web: AngelOne/InvestyWise/ScanX (unverified) Feb-Mar 2026; IRDAI inspection Feb 2025 SCN Feb 26 2026",2026-02-26,false,,"Obtain SCN text and company response; assess relation to comp incentives"
04-001,ownership-and-insider-behavior,Ownership,Promoter/controlling bloc %,Green,63.26,% of total shares,Dec-2024/Jun-2025 position dates,,Stable,In line with Indian insurer peers,18,0,3,High,"S&P Global MI Public Ownership Summary Jun-04-2026 (vendor-sourced unverified)",2026-06-04,false,,"Obtain SEBI LODR shareholding-pattern (Mar-31-2026)"
04-002,ownership-and-insider-behavior,Ownership,Management/insider ownership %,Amber,0.88,% of total shares,Dec-2025 to Jun-2026,,Stable,In line with hired-mgmt structure,8,-3,3,Medium,"S&P Global MI Public Ownership Summary Jun-04-2026 (vendor-sourced unverified)",2026-06-04,false,,"Confirm ESOP vs open-market split from SEBI LODR filing"
04-006,ownership-and-insider-behavior,Control Structure,Dual-class/super-voting shares,Green,0,share classes with differential voting,FY26,,Stable,In line,10,0,3,Medium,"S&P Global MI Jun-04-2026 (vendor-sourced unverified)",2026-06-04,false,,None
04-008,ownership-and-insider-behavior,Control Structure,Controlling-owner objective alignment Filter 6,Green,,qualitative,FY26,,Stable,,9,0,3,High,"Q3 FY26 transcript Jan 29 2026 p.5; business-model/01_disqualifier-scan.md",2026-01-29,false,,"Obtain Annual Report RPT note to quantify Bupa commercial arrangements"
04-010,ownership-and-insider-behavior,Market Conduct,Institutional holder quality/trend,Green,14110000,shares net institutional buy,Dec-2025 to Mar-2026,,Improving,,8,0,3,Low,"S&P Global MI Public Ownership Summary Jun-04-2026 (vendor-sourced unverified)",2026-03-31,false,,None
05-002,board-and-shareholder-rights,Board Composition,Independent director %,Amber,44,% (4 of 9),Jun 2026,,Improving,Below SEBI LODR target,7,-3,3,High,"Capital IQ Board Members current (~Jun 2026)",2026-06-01,false,,"Does CG Report confirm IRDAI independent-director requirements met?"
05-003,board-and-shareholder-rights,Board Composition,Chair/CEO split,Green,1,binary,Jun 2026,,Stable,In line with best practice,8,0,3,High,"Capital IQ Board Members: Barve vs Ramachandran",2026-06-01,false,,None
05-004,board-and-shareholder-rights,Board Composition,True independence Fletcher (Bupa Group CRO),Red,0,binary,Jun 2026,2014,Stable (11 yrs on board),Worse than best practice,0,-5,3,High,"Capital IQ Board Members: Chief Risk Officer at Bupa Finance plc since July 2016; Non-Executive Director since October 28 2014; Chairman of Risk Committee",2026-06-01,true,RF-SHR-001,"Obtain CG Report; confirm Risk Committee terms; does Fletcher recuse from Bupa-related matters?"
05-007,board-and-shareholder-rights,Board Composition,Risk Committee chaired by Bupa Group CRO,Red,0,binary,Jun 2026,2014,Stable,Worse than best practice,0,-8,3,High,"Capital IQ Board Members: Chairman of Risk Committee for Fletcher; Chief Risk Officer at Bupa Finance plc since July 2016",2026-06-01,true,RF-SHR-001,"Obtain Risk Committee terms of reference; consider independent chair appointment"
05-013,board-and-shareholder-rights,Related-Party Transactions,Structural RPT risk Bupa as promoter and counterparty,Amber,,,FY26,,,0,-5,2,High,"Capital IQ Public Ownership (Bupa 55.35%); Capital IQ Board Members (Fletcher = Bupa CRO); Q4 FY26 transcript May 8 2026 p.4",2026-06-01,false,,"Quantify Bupa fees; assess arm's-length basis"
05-017,board-and-shareholder-rights,Takeover Defenses,100% FDI now permitted — Bupa consolidation risk,Amber,100,% FDI cap (was 74%),Q3 FY26 onwards,Pre-FY26 (74% cap),Changed,,0,-2,4,Medium,"Q3 FY26 transcript Jan 29 2026 p.5",2026-01-29,false,,"Has Bupa indicated any intent to increase stake or seek delisting?"
06-001,candor-and-disclosure-quality,Owning the Misses,FQ3 FY25 -80% EPS miss owned?,Green,-80,% EPS surprise,FQ3 FY25,FQ2 FY25,Deteriorating (temp),,20,0,3,High,"Q3 FY25 transcript Feb 4 2025 pp.4-5; Q4 FY25 transcript May 7 2025 p.5",2025-02-04,false,,None
06-002,candor-and-disclosure-quality,Owning the Misses,Q1 FY26 auto-adjudication suspension disclosure,Amber,76,% SLA within 30 min cashless (was 90%+),Q1 FY26,"Q3 FY25 (90%+)",Deteriorating (temp),,14,-5,4,High,"Q1 FY26 transcript Jul 31 2025 pp.5-6",2025-07-31,false,,"Nature of security issue? IRDAI notification status?"
06-003,candor-and-disclosure-quality,Owning the Misses,GWP miss vs consensus corrected?,Amber,-6.2,% revenue miss vs consensus FY26,"FY2026","FY2025 (-8.7%)",Improving,,8,-3,3,Medium,"earnings/04_guidance-consensus.md; Q4 FY26 transcript May 8 2026 p.6",2026-05-08,false,,"Does management have internal GWP forecast below street consensus?"
06-004,candor-and-disclosure-quality,Owning the Misses,Combined ratio comparison base chosen,Amber,101.4,% combined ratio IFRS,FY2026,"FY2025 (101.2%)",Deteriorating slightly vs FY25,Worse than Star Health,8,-2,3,High,"Q4 FY26 transcript May 8 2026 p.5; Q4 FY25 transcript May 7 2025 p.5",2026-05-08,false,,"Updated annual improvement bridge from 101.4% to 99% by FY29?"
06-005,candor-and-disclosure-quality,Non-GAAP Aggressiveness,Recurring one-off addbacks,Green,0,recurring addbacks,FY2026,FY2025,Stable,,20,0,4,High,"earnings/06_earnings-quality.md; Q3 FY26 transcript; Q4 FY26 transcript pp.7-8",2026-05-08,false,,None
06-006,candor-and-disclosure-quality,Non-GAAP Aggressiveness,GAAP-to-adjusted gap,Green,1,INR mn gap FY26,FY2026,FY2025,Stable,,18,0,4,High,"earnings/06_earnings-quality.md; Q4 FY26 transcript May 8 2026 p.5",2026-05-08,false,,None
06-008,candor-and-disclosure-quality,Disclosure Transparency,KPI consistency quarter-over-quarter,Green,10,KPIs consistently reported,FY2026,FY2025,Stable,,20,0,4,Medium,"All 6 earnings call transcripts Q2 FY25 to Q4 FY26",2026-05-08,false,,None
06-013,candor-and-disclosure-quality,Tone in Bad Times,Q3 FY25 worst EPS miss tone assessment,Green,1,quarters with direct miss acknowledgment,FQ3 FY25,,Stable,,15,0,4,High,"Q3 FY25 transcript Feb 4 2025 pp.4-8",2025-02-04,false,,None
06-014,candor-and-disclosure-quality,Tone in Bad Times,Q1 FY26 claims disruption Q&A evasiveness,Green,0,substantive deflections identified,Q1 FY26,,Stable,,15,0,4,High,"Q1 FY26 transcript Jul 31 2025 pp.7-10",2025-07-31,false,,None
